YEAR,MOTHER_ORIGIN,FATHER_ORIGIN,SPOUSE_GEN,SPOUSE_COUNTRY,SPOUSE_MOTHER,SPOUSE_FATHER,WEIGHTED_COUNT
1880,Atlantic Islands,Ireland,3rd+ gen American,American,US-born,US-born,9.98
1880,Atlantic Islands,US-born,3rd+ gen American,American,US-born,US-born,24.89
1880,Australia/New Zealand,Australia/New Zealand,2nd gen,Canada,Canada,US-born,4.88
1880,Australia/New Zealand,England,3rd+ gen American,American,US-born,US-born,19.86
1880,Australia/New Zealand,Germany,3rd+ gen American,American,US-born,US-born,9.58
1880,Australia/New Zealand,Ireland,2nd gen,Ireland,Australia/New Zealand,Ireland,20.18
1880,Australia/New Zealand,US-born,3rd+ gen American,American,US-born,US-born,58.160000000000004
1880,Australia/New Zealand,Wales,2nd gen,England,Ireland,England,10.67
1880,Austria,Austria,1st gen immigrant,Austria,Austria,Austria,243.74
1880,Austria,Austria,1st gen immigrant,Czechoslovakia,Czechoslovakia,Czechoslovakia,10.03
1880,Austria,Austria,1st gen immigrant,Germany,Germany,Germany,216.57
1880,Austria,Austria,1st gen immigrant,Ireland,Ireland,Ireland,10.03
1880,Austria,Austria,1st gen immigrant,Mexico,Mexico,Mexico,5.14
1880,Austria,Austria,1st gen immigrant,Poland,Poland,Poland,29.08
1880,Austria,Austria,1st gen immigrant,Scotland,Scotland,Scotland,9.92
1880,Austria,Austria,2nd gen,Austria,Austria,Austria,60.260000000000005
1880,Austria,Austria,2nd gen,England,Russia/USSR,England,10.3
1880,Austria,Austria,2nd gen,Europe (unspecified),Europe (unspecified),Europe (unspecified),9.53
1880,Austria,Austria,2nd gen,France,France,France,9.95
1880,Austria,Austria,2nd gen,Germany,Germany,Germany,189.72
1880,Austria,Austria,2nd gen,Germany,Scotland,Germany,9.84
1880,Austria,Austria,2nd gen,Germany,US-born,Germany,9.94
1880,Austria,Austria,2nd gen,Ireland,England,Ireland,10.29
1880,Austria,Austria,2nd gen,Ireland,Ireland,Ireland,10.02
1880,Austria,Austria,2nd gen,Netherlands,Russia/USSR,Netherlands,10.02
1880,Austria,Austria,2nd gen,Spain,Spain,US-born,5.01
1880,Austria,Austria,2nd gen,Switzerland,US-born,Switzerland,10.3
1880,Austria,Austria,3rd+ gen American,American,US-born,Abroad/At Sea,10.02
1880,Austria,Austria,3rd+ gen American,American,US-born,US-born,230.81
1880,Austria,England,1st gen immigrant,England,England,England,10.11
1880,Austria,Germany,1st gen immigrant,Canada,Ireland,Ireland,10.11
1880,Austria,Germany,1st gen immigrant,Czechoslovakia,Czechoslovakia,Czechoslovakia,9.81
1880,Austria,Germany,1st gen immigrant,Germany,Germany,Germany,80.63
1880,Austria,Germany,2nd gen,France,Germany,France,9.88
1880,Austria,Germany,2nd gen,Germany,Austria,Germany,40.04
1880,Austria,Germany,2nd gen,Germany,Germany,Germany,59.83
1880,Austria,Germany,2nd gen,Germany,Germany,US-born,10.02
1880,Austria,Germany,2nd gen,Ireland,Ireland,Ireland,9.89
1880,Austria,Germany,3rd+ gen American,American,US-born,US-born,15.01
1880,Austria,Hungary,1st gen immigrant,Germany,Germany,Germany,10.0
1880,Austria,Poland,2nd gen,Germany,Germany,Germany,10.02
1880,Austria,Poland,3rd+ gen American,American,US-born,US-born,10.02
1880,Austria,Switzerland,2nd gen,Ireland,Ireland,Ireland,9.95
1880,Austria,Switzerland,3rd+ gen American,American,US-born,US-born,10.25
1880,Austria,US-born,1st gen immigrant,France,France,England,10.09
1880,Austria,US-born,2nd gen,Austria,Austria,US-born,10.14
1880,Austria,US-born,2nd gen,Ireland,Ireland,US-born,9.96
1880,Austria,US-born,3rd+ gen American,American,US-born,US-born,15.98
1880,Austria,West Indies,3rd+ gen American,American,US-born,US-born,10.02
1880,Belgium,Belgium,1st gen immigrant,Belgium,Belgium,Belgium,203.02
1880,Belgium,Belgium,1st gen immigrant,Belgium,France,France,9.92
1880,Belgium,Belgium,1st gen immigrant,Canada,France,France,10.36
1880,Belgium,Belgium,1st gen immigrant,Canada,Germany,Germany,9.85
1880,Belgium,Belgium,1st gen immigrant,Czechoslovakia,Czechoslovakia,Czechoslovakia,10.04
1880,Belgium,Belgium,1st gen immigrant,England,England,England,19.92
1880,Belgium,Belgium,1st gen immigrant,England,Netherlands,Netherlands,9.86
1880,Belgium,Belgium,1st gen immigrant,France,Belgium,France,10.15
1880,Belgium,Belgium,1st gen immigrant,France,France,France,19.75
1880,Belgium,Belgium,1st gen immigrant,Germany,Belgium,Belgium,10.31
1880,Belgium,Belgium,1st gen immigrant,Germany,Germany,Germany,94.8
1880,Belgium,Belgium,1st gen immigrant,Luxembourg,Luxembourg,Luxembourg,61.26
1880,Belgium,Belgium,1st gen immigrant,Switzerland,Switzerland,Switzerland,20.1
1880,Belgium,Belgium,2nd gen,Belgium,Belgium,Belgium,159.08
1880,Belgium,Belgium,2nd gen,Canada,Canada,Canada,9.91
1880,Belgium,Belgium,2nd gen,Canada,Ireland,Canada,9.92
1880,Belgium,Belgium,2nd gen,Canada,US-born,Canada,9.9
1880,Belgium,Belgium,2nd gen,England,Scotland,England,9.83
1880,Belgium,Belgium,2nd gen,England,US-born,England,9.92
1880,Belgium,Belgium,2nd gen,France,Belgium,France,10.74
1880,Belgium,Belgium,2nd gen,France,France,France,39.31
1880,Belgium,Belgium,2nd gen,France,US-born,France,9.96
1880,Belgium,Belgium,2nd gen,Germany,Belgium,Germany,19.92
1880,Belgium,Belgium,2nd gen,Germany,France,Germany,10.05
1880,Belgium,Belgium,2nd gen,Germany,Germany,Germany,49.68
1880,Belgium,Belgium,2nd gen,Germany,US-born,Germany,9.89
1880,Belgium,Belgium,2nd gen,Ireland,Ireland,Ireland,20.509999999999998
1880,Belgium,Belgium,2nd gen,Luxembourg,Luxembourg,Luxembourg,10.25
1880,Belgium,Belgium,2nd gen,Netherlands,Belgium,Netherlands,10.4
1880,Belgium,Belgium,2nd gen,Portugal,Portugal,Portugal,5.06
1880,Belgium,Belgium,2nd gen,Scotland,Scotland,Scotland,9.85
1880,Belgium,Belgium,3rd+ gen American,American,US-born,US-born,134.3
1880,Belgium,England,3rd+ gen American,American,US-born,US-born,9.98
1880,Belgium,France,1st gen immigrant,France,France,France,9.52
1880,Belgium,France,1st gen immigrant,Switzerland,Switzerland,Switzerland,9.95
1880,Belgium,France,2nd gen,Belgium,Belgium,Belgium,10.74
1880,Belgium,France,2nd gen,France,France,France,9.78
1880,Belgium,France,2nd gen,Germany,Germany,Germany,9.74
1880,Belgium,France,2nd gen,Germany,Germany,US-born,10.18
1880,Belgium,France,3rd+ gen American,American,US-born,US-born,9.92
1880,Belgium,Germany,1st gen immigrant,Denmark,Denmark,Denmark,9.9
1880,Belgium,Germany,1st gen immigrant,Germany,Germany,Germany,29.75
1880,Belgium,Germany,1st gen immigrant,Switzerland,Switzerland,Switzerland,10.11
1880,Belgium,Germany,2nd gen,Belgium,Belgium,Belgium,19.92
1880,Belgium,Germany,2nd gen,Germany,Belgium,Germany,19.48
1880,Belgium,Germany,2nd gen,Germany,Germany,Germany,9.87
1880,Belgium,Germany,3rd+ gen American,American,US-born,US-born,35.65
1880,Belgium,Netherlands,1st gen immigrant,Austria,Austria,Austria,10.18
1880,Belgium,Netherlands,1st gen immigrant,Netherlands,Netherlands,Netherlands,9.9
1880,Belgium,Netherlands,2nd gen,Belgium,Belgium,Belgium,10.4
1880,Belgium,Spain,3rd+ gen American,American,US-born,US-born,4.88
1880,Belgium,Switzerland,1st gen immigrant,Italy,Italy,Italy,9.77
1880,Belgium,Switzerland,2nd gen,Germany,Germany,Germany,10.18
1880,Belgium,Switzerland,3rd+ gen American,American,US-born,US-born,9.53
1880,Belgium,US-born,1st gen immigrant,Spain,Spain,Spain,4.96
1880,Belgium,US-born,3rd+ gen American,American,US-born,US-born,29.7
1880,Canada,Abroad/At Sea,1st gen immigrant,Canada,Ireland,Ireland,9.82
1880,Canada,Abroad/At Sea,2nd gen,Canada,US-born,Canada,10.15
1880,Canada,Abroad/At Sea,3rd+ gen American,American,US-born,US-born,9.81
1880,Canada,Austria,1st gen immigrant,Cuba,France,France,4.98
1880,Canada,Canada,1st gen immigrant,Africa,Africa,Africa,4.95
1880,Canada,Canada,1st gen immigrant,Africa,Ireland,Ireland,5.09
1880,Canada,Canada,1st gen immigrant,Belgium,Belgium,Belgium,39.589999999999996
1880,Canada,Canada,1st gen immigrant,Canada,Canada,Canada,11055.869999999999
1880,Canada,Canada,1st gen immigrant,Canada,Canada,England,99.52
1880,Canada,Canada,1st gen immigrant,Canada,Canada,France,10.08
1880,Canada,Canada,1st gen immigrant,Canada,Canada,Ireland,30.05
1880,Canada,Canada,1st gen immigrant,Canada,Canada,Italy,9.91
1880,Canada,Canada,1st gen immigrant,Canada,Canada,Poland,9.79
1880,Canada,Canada,1st gen immigrant,Canada,Canada,Scotland,9.9
1880,Canada,Canada,1st gen immigrant,Canada,Canada,US-born,233.94
1880,Canada,Canada,1st gen immigrant,Canada,England,Canada,15.52
1880,Canada,Canada,1st gen immigrant,Canada,England,England,141.8
1880,Canada,Canada,1st gen immigrant,Canada,England,France,9.95
1880,Canada,Canada,1st gen immigrant,Canada,England,US-born,40.44
1880,Canada,Canada,1st gen immigrant,Canada,France,Canada,9.92
1880,Canada,Canada,1st gen immigrant,Canada,France,France,20.2
1880,Canada,Canada,1st gen immigrant,Canada,France,Germany,9.65
1880,Canada,Canada,1st gen immigrant,Canada,Germany,Germany,20.14
1880,Canada,Canada,1st gen immigrant,Canada,Ireland,Canada,19.68
1880,Canada,Canada,1st gen immigrant,Canada,Ireland,Ireland,179.05
1880,Canada,Canada,1st gen immigrant,Canada,Ireland,US-born,10.04
1880,Canada,Canada,1st gen immigrant,Canada,Scotland,Canada,50.25
1880,Canada,Canada,1st gen immigrant,Canada,Scotland,Ireland,9.91
1880,Canada,Canada,1st gen immigrant,Canada,Scotland,Scotland,98.43
1880,Canada,Canada,1st gen immigrant,Canada,US-born,Canada,99.68
1880,Canada,Canada,1st gen immigrant,Canada,US-born,England,9.78
1880,Canada,Canada,1st gen immigrant,Canada,US-born,Ireland,9.64
1880,Canada,Canada,1st gen immigrant,Canada,US-born,US-born,155.65
1880,Canada,Canada,1st gen immigrant,Cuba,Cuba,Cuba,5.0
1880,Canada,Canada,1st gen immigrant,Cuba,France,Switzerland,4.99
1880,Canada,Canada,1st gen immigrant,Denmark,Denmark,Denmark,30.310000000000002
1880,Canada,Canada,1st gen immigrant,Denmark,Denmark,France,10.16
1880,Canada,Canada,1st gen immigrant,England,Canada,England,10.04
1880,Canada,Canada,1st gen immigrant,England,England,England,544.4399999999999
1880,Canada,Canada,1st gen immigrant,England,England,Wales,4.93
1880,Canada,Canada,1st gen immigrant,England,Ireland,Ireland,19.82
1880,Canada,Canada,1st gen immigrant,England,Ireland,Scotland,9.92
1880,Canada,Canada,1st gen immigrant,England,Wales,England,9.77
1880,Canada,Canada,1st gen immigrant,France,Canada,France,10.29
1880,Canada,Canada,1st gen immigrant,France,France,Belgium,9.9
1880,Canada,Canada,1st gen immigrant,France,France,England,10.07
1880,Canada,Canada,1st gen immigrant,France,France,France,108.16
1880,Canada,Canada,1st gen immigrant,France,Germany,France,9.67
1880,Canada,Canada,1st gen immigrant,France,Switzerland,France,10.09
1880,Canada,Canada,1st gen immigrant,Germany,Denmark,Russia/USSR,9.71
1880,Canada,Canada,1st gen immigrant,Germany,Germany,Germany,424.11
1880,Canada,Canada,1st gen immigrant,Greece,Greece,Greece,10.09
1880,Canada,Canada,1st gen immigrant,Ireland,Ireland,Ireland,556.59
1880,Canada,Canada,1st gen immigrant,Ireland,Scotland,Ireland,9.79
1880,Canada,Canada,1st gen immigrant,Italy,Italy,Italy,9.86
1880,Canada,Canada,1st gen immigrant,Luxembourg,Luxembourg,Luxembourg,9.94
1880,Canada,Canada,1st gen immigrant,Mexico,England,England,5.04
1880,Canada,Canada,1st gen immigrant,Netherlands,Netherlands,Netherlands,29.980000000000004
1880,Canada,Canada,1st gen immigrant,Norway,Norway,Norway,39.34
1880,Canada,Canada,1st gen immigrant,Russia/USSR,Russia/USSR,Russia/USSR,10.42
1880,Canada,Canada,1st gen immigrant,Scotland,Scotland,Scotland,99.9
1880,Canada,Canada,1st gen immigrant,Spain,Spain,Spain,4.81
1880,Canada,Canada,1st gen immigrant,Sweden,Sweden,Sweden,40.07
1880,Canada,Canada,1st gen immigrant,Switzerland,Switzerland,Switzerland,29.79
1880,Canada,Canada,1st gen immigrant,Wales,Wales,Wales,29.939999999999998
1880,Canada,Canada,2nd gen,Belgium,Belgium,Belgium,9.91
1880,Canada,Canada,2nd gen,Canada,Canada,Canada,8056.32
1880,Canada,Canada,2nd gen,Canada,Canada,US-born,658.04
1880,Canada,Canada,2nd gen,Canada,England,Canada,50.25
1880,Canada,Canada,2nd gen,Canada,France,Canada,10.26
1880,Canada,Canada,2nd gen,Canada,Ireland,Canada,20.22
1880,Canada,Canada,2nd gen,Canada,Switzerland,Canada,19.86
1880,Canada,Canada,2nd gen,Canada,US-born,Canada,829.6899999999999
1880,Canada,Canada,2nd gen,Denmark,Denmark,Denmark,10.07
1880,Canada,Canada,2nd gen,Denmark,Spain,Denmark,4.93
1880,Canada,Canada,2nd gen,England,Canada,England,49.57
1880,Canada,Canada,2nd gen,England,England,England,413.79
1880,Canada,Canada,2nd gen,England,England,US-born,70.2
1880,Canada,Canada,2nd gen,England,Ireland,England,35.36
1880,Canada,Canada,2nd gen,England,Netherlands,England,9.77
1880,Canada,Canada,2nd gen,England,Scotland,England,29.71
1880,Canada,Canada,2nd gen,England,US-born,England,265.0
1880,Canada,Canada,2nd gen,England,Wales,England,9.57
1880,Canada,Canada,2nd gen,France,Canada,France,39.989999999999995
1880,Canada,Canada,2nd gen,France,France,France,138.51
1880,Canada,Canada,2nd gen,France,France,US-born,9.71
1880,Canada,Canada,2nd gen,France,US-born,France,19.9
1880,Canada,Canada,2nd gen,Germany,Canada,Germany,29.77
1880,Canada,Canada,2nd gen,Germany,England,Germany,4.93
1880,Canada,Canada,2nd gen,Germany,Germany,Germany,362.78999999999996
1880,Canada,Canada,2nd gen,Germany,Germany,US-born,10.15
1880,Canada,Canada,2nd gen,Germany,Switzerland,Germany,20.060000000000002
1880,Canada,Canada,2nd gen,Germany,US-born,Germany,69.22
1880,Canada,Canada,2nd gen,Ireland,Canada,Ireland,39.269999999999996
1880,Canada,Canada,2nd gen,Ireland,England,Ireland,30.14
1880,Canada,Canada,2nd gen,Ireland,Ireland,Ireland,978.37
1880,Canada,Canada,2nd gen,Ireland,Ireland,US-born,65.13
1880,Canada,Canada,2nd gen,Ireland,Norway,Ireland,9.68
1880,Canada,Canada,2nd gen,Ireland,US-born,Ireland,189.91
1880,Canada,Canada,2nd gen,Italy,Canada,Italy,9.78
1880,Canada,Canada,2nd gen,Mexico,Mexico,Mexico,5.19
1880,Canada,Canada,2nd gen,Netherlands,Netherlands,Netherlands,49.879999999999995
1880,Canada,Canada,2nd gen,Norway,Norway,Norway,9.77
1880,Canada,Canada,2nd gen,Puerto Rico,Russia/USSR,Puerto Rico,4.87
1880,Canada,Canada,2nd gen,Scotland,Canada,Scotland,30.520000000000003
1880,Canada,Canada,2nd gen,Scotland,England,Scotland,20.82
1880,Canada,Canada,2nd gen,Scotland,Ireland,Scotland,19.189999999999998
1880,Canada,Canada,2nd gen,Scotland,Scotland,Scotland,144.1
1880,Canada,Canada,2nd gen,Scotland,Scotland,US-born,80.03
1880,Canada,Canada,2nd gen,Scotland,US-born,Scotland,78.74
1880,Canada,Canada,2nd gen,Spain,Spain,Spain,10.07
1880,Canada,Canada,2nd gen,Spain,US-born,Spain,9.95
1880,Canada,Canada,2nd gen,Sweden,Sweden,Sweden,10.38
1880,Canada,Canada,2nd gen,Switzerland,Switzerland,Switzerland,30.439999999999998
1880,Canada,Canada,2nd gen,Switzerland,US-born,Switzerland,11.11
1880,Canada,Canada,2nd gen,Wales,Portugal,Wales,9.99
1880,Canada,Canada,2nd gen,Wales,US-born,Wales,10.08
1880,Canada,Canada,2nd gen,Wales,Wales,US-born,9.29
1880,Canada,Canada,2nd gen,Wales,Wales,Wales,19.5
1880,Canada,Canada,3rd+ gen American,American,US-born,US-born,13644.61
1880,Canada,Denmark,1st gen immigrant,Canada,Scotland,Scotland,10.09
1880,Canada,England,1st gen immigrant,Canada,Canada,Canada,138.9
1880,Canada,England,1st gen immigrant,Canada,Canada,Cuba,5.33
1880,Canada,England,1st gen immigrant,Canada,Canada,England,9.85
1880,Canada,England,1st gen immigrant,Canada,Canada,US-born,10.54
1880,Canada,England,1st gen immigrant,Canada,England,Canada,19.37
1880,Canada,England,1st gen immigrant,Canada,England,England,10.65
1880,Canada,England,1st gen immigrant,Canada,Ireland,Canada,30.439999999999998
1880,Canada,England,1st gen immigrant,Canada,Ireland,England,9.48
1880,Canada,England,1st gen immigrant,Canada,Ireland,Ireland,20.08
1880,Canada,England,1st gen immigrant,Canada,Scotland,Canada,9.91
1880,Canada,England,1st gen immigrant,Canada,Scotland,Scotland,9.53
1880,Canada,England,1st gen immigrant,England,England,England,159.48
1880,Canada,England,1st gen immigrant,England,England,Ireland,9.78
1880,Canada,England,1st gen immigrant,France,France,France,10.0
1880,Canada,England,1st gen immigrant,Germany,Germany,Germany,44.4
1880,Canada,England,1st gen immigrant,Ireland,Ireland,Ireland,80.35
1880,Canada,England,1st gen immigrant,Ireland,Scotland,Scotland,9.9
1880,Canada,England,1st gen immigrant,Norway,Norway,Norway,9.82
1880,Canada,England,1st gen immigrant,Pacific Islands,Scotland,Scotland,10.98
1880,Canada,England,1st gen immigrant,Scotland,Scotland,Scotland,30.18
1880,Canada,England,1st gen immigrant,Switzerland,Switzerland,Switzerland,9.95
1880,Canada,England,2nd gen,Canada,Canada,Canada,49.57
1880,Canada,England,2nd gen,Canada,Canada,US-born,39.9
1880,Canada,England,2nd gen,Canada,England,Canada,10.04
1880,Canada,England,2nd gen,Canada,Ireland,Canada,9.5
1880,Canada,England,2nd gen,Canada,US-born,Canada,30.45
1880,Canada,England,2nd gen,Denmark,US-born,Denmark,10.07
1880,Canada,England,2nd gen,England,Canada,England,19.96
1880,Canada,England,2nd gen,England,England,England,59.83
1880,Canada,England,2nd gen,England,England,US-born,40.230000000000004
1880,Canada,England,2nd gen,England,Germany,England,9.92
1880,Canada,England,2nd gen,England,Scotland,England,4.87
1880,Canada,England,2nd gen,England,US-born,England,20.32
1880,Canada,England,2nd gen,Germany,Germany,Germany,69.99
1880,Canada,England,2nd gen,Germany,US-born,Germany,9.96
1880,Canada,England,2nd gen,Ireland,England,Ireland,11.11
1880,Canada,England,2nd gen,Ireland,Ireland,Ireland,44.96
1880,Canada,England,2nd gen,Ireland,Ireland,US-born,10.47
1880,Canada,England,2nd gen,Ireland,US-born,Ireland,10.17
1880,Canada,England,2nd gen,Norway,Ireland,Norway,9.92
1880,Canada,England,2nd gen,Scotland,Canada,Scotland,10.38
1880,Canada,England,2nd gen,Scotland,England,Scotland,10.05
1880,Canada,England,3rd+ gen American,American,US-born,US-born,1555.71
1880,Canada,France,1st gen immigrant,Canada,Canada,Canada,79.32
1880,Canada,France,1st gen immigrant,Canada,Canada,US-born,10.37
1880,Canada,France,1st gen immigrant,Canada,England,Canada,10.38
1880,Canada,France,1st gen immigrant,Canada,England,Scotland,9.85
1880,Canada,France,1st gen immigrant,Canada,Ireland,Ireland,9.78
1880,Canada,France,1st gen immigrant,England,England,England,20.310000000000002
1880,Canada,France,1st gen immigrant,France,France,France,9.95
1880,Canada,France,1st gen immigrant,Germany,Germany,Germany,20.32
1880,Canada,France,1st gen immigrant,Ireland,Ireland,Ireland,14.399999999999999
1880,Canada,France,1st gen immigrant,Scotland,Scotland,Scotland,10.91
1880,Canada,France,1st gen immigrant,Switzerland,Switzerland,Switzerland,10.28
1880,Canada,France,2nd gen,Canada,Canada,Canada,39.989999999999995
1880,Canada,France,2nd gen,Canada,Canada,US-born,9.65
1880,Canada,France,2nd gen,Canada,US-born,Canada,19.759999999999998
1880,Canada,France,2nd gen,England,England,England,20.38
1880,Canada,France,2nd gen,England,England,US-born,9.85
1880,Canada,France,2nd gen,England,US-born,England,9.85
1880,Canada,France,2nd gen,France,France,France,29.79
1880,Canada,France,2nd gen,France,Germany,France,9.62
1880,Canada,France,2nd gen,Germany,Germany,Germany,30.35
1880,Canada,France,2nd gen,Germany,Germany,US-born,10.0
1880,Canada,France,2nd gen,Ireland,Ireland,Ireland,19.990000000000002
1880,Canada,France,2nd gen,Ireland,US-born,Ireland,15.49
1880,Canada,France,2nd gen,Luxembourg,Luxembourg,Luxembourg,10.23
1880,Canada,France,2nd gen,Netherlands,US-born,Netherlands,10.09
1880,Canada,France,2nd gen,Wales,Wales,Wales,10.35
1880,Canada,France,3rd+ gen American,American,US-born,US-born,396.7
1880,Canada,Germany,1st gen immigrant,Canada,England,England,4.98
1880,Canada,Germany,1st gen immigrant,Canada,Ireland,Ireland,9.75
1880,Canada,Germany,1st gen immigrant,Canada,US-born,Canada,9.52
1880,Canada,Germany,1st gen immigrant,France,France,France,5.05
1880,Canada,Germany,1st gen immigrant,Germany,Germany,Germany,54.8
1880,Canada,Germany,1st gen immigrant,Ireland,Ireland,Ireland,5.05
1880,Canada,Germany,1st gen immigrant,Scotland,Scotland,Scotland,10.48
1880,Canada,Germany,2nd gen,Canada,Canada,Canada,29.77
1880,Canada,Germany,2nd gen,France,US-born,France,10.09
1880,Canada,Germany,2nd gen,Germany,Germany,Germany,10.09
1880,Canada,Germany,2nd gen,Germany,US-born,Germany,9.9
1880,Canada,Germany,2nd gen,Ireland,Ireland,Ireland,29.65
1880,Canada,Germany,2nd gen,Ireland,US-born,Ireland,10.02
1880,Canada,Germany,2nd gen,Scotland,Scotland,Scotland,9.92
1880,Canada,Germany,3rd+ gen American,American,US-born,US-born,180.03
1880,Canada,Greece,3rd+ gen American,American,US-born,US-born,9.86
1880,Canada,Ireland,1st gen immigrant,Canada,Canada,Canada,157.67
1880,Canada,Ireland,1st gen immigrant,Canada,Canada,England,19.89
1880,Canada,Ireland,1st gen immigrant,Canada,Canada,Ireland,19.89
1880,Canada,Ireland,1st gen immigrant,Canada,Canada,Scotland,10.07
1880,Canada,Ireland,1st gen immigrant,Canada,Canada,US-born,10.45
1880,Canada,Ireland,1st gen immigrant,Canada,Ireland,England,9.92
1880,Canada,Ireland,1st gen immigrant,Canada,Ireland,Ireland,139.12
1880,Canada,Ireland,1st gen immigrant,Canada,Scotland,Ireland,9.79
1880,Canada,Ireland,1st gen immigrant,Canada,US-born,Ireland,9.95
1880,Canada,Ireland,1st gen immigrant,Canada,US-born,Scotland,9.88
1880,Canada,Ireland,1st gen immigrant,Canada,US-born,US-born,10.98
1880,Canada,Ireland,1st gen immigrant,England,England,England,29.43
1880,Canada,Ireland,1st gen immigrant,England,England,Scotland,10.03
1880,Canada,Ireland,1st gen immigrant,England,Ireland,Ireland,19.759999999999998
1880,Canada,Ireland,1st gen immigrant,Germany,Germany,Germany,68.9
1880,Canada,Ireland,1st gen immigrant,Ireland,Canada,Ireland,20.13
1880,Canada,Ireland,1st gen immigrant,Ireland,Ireland,Ireland,311.28
