YEAR,MOTHER_ORIGIN,FATHER_ORIGIN,MARRIAGE_TYPE,WEIGHTED_COUNT,UNWEIGHTED_N
1880,Africa,US-born,Married 3rd+ gen American,1002.72,201
1880,Africa,US-born,Married different origin (2nd gen),9.83,2
1880,Africa,US-born,Married mother's origin (2nd gen),95.22,19
1880,Africa,West Indies,Married 3rd+ gen American,5.01,1
1880,Atlantic Islands,Atlantic Islands,Married 3rd+ gen American,9.87,1
1880,Atlantic Islands,Atlantic Islands,Married different origin (1st gen immigrant),4.98,1
1880,Atlantic Islands,England,Married 3rd+ gen American,9.76,1
1880,Atlantic Islands,Ireland,Married 3rd+ gen American,9.98,1
1880,Atlantic Islands,US-born,Married 3rd+ gen American,24.89,3
1880,Australia/New Zealand,Australia/New Zealand,Married different origin (2nd gen),4.88,1
1880,Australia/New Zealand,England,Married 3rd+ gen American,19.86,2
1880,Australia/New Zealand,Germany,Married 3rd+ gen American,9.58,1
1880,Australia/New Zealand,Ireland,Married someone sharing both heritages (2nd gen),20.18,2
1880,Australia/New Zealand,US-born,Married 3rd+ gen American,58.160000000000004,6
1880,Australia/New Zealand,Wales,Married different origin (2nd gen),10.67,1
1880,Austria,Austria,Married 3rd+ gen American,240.82999999999998,25
1880,Austria,Austria,Married different origin (1st gen immigrant),280.77,29
1880,Austria,Austria,Married different origin (2nd gen),284.92,30
1880,Austria,Austria,Married same origin (1st gen immigrant),243.74,25
1880,Austria,Austria,Married same origin (2nd gen),60.260000000000005,6
1880,Austria,England,Married father's origin (1st gen immigrant),10.11,1
1880,Austria,Germany,Married 3rd+ gen American,15.01,2
1880,Austria,Germany,Married different origin (1st gen immigrant),19.92,2
1880,Austria,Germany,Married different origin (2nd gen),9.89,1
1880,Austria,Germany,Married father's origin (1st gen immigrant),80.63,8
1880,Austria,Germany,Married father's origin (2nd gen),79.73,8
1880,Austria,Germany,Married someone sharing both heritages (2nd gen),40.04,4
1880,Austria,Hungary,Married different origin (1st gen immigrant),10.0,1
1880,Austria,Poland,Married 3rd+ gen American,10.02,1
1880,Austria,Poland,Married different origin (2nd gen),10.02,1
1880,Austria,Switzerland,Married 3rd+ gen American,10.25,1
1880,Austria,Switzerland,Married different origin (2nd gen),9.95,1
1880,Austria,US-born,Married 3rd+ gen American,15.98,2
1880,Austria,US-born,Married different origin (1st gen immigrant),10.09,1
1880,Austria,US-born,Married different origin (2nd gen),9.96,1
1880,Austria,US-born,Married mother's origin (2nd gen),10.14,2
1880,Austria,West Indies,Married 3rd+ gen American,10.02,1
1880,Belgium,Belgium,Married 3rd+ gen American,134.3,14
1880,Belgium,Belgium,Married different origin (1st gen immigrant),276.4,28
1880,Belgium,Belgium,Married different origin (2nd gen),214.04,22
1880,Belgium,Belgium,Married same origin (1st gen immigrant),212.94,22
1880,Belgium,Belgium,Married same origin (2nd gen),200.14000000000001,20
1880,Belgium,England,Married 3rd+ gen American,9.98,1
1880,Belgium,France,Married 3rd+ gen American,9.92,1
1880,Belgium,France,Married different origin (1st gen immigrant),9.95,1
1880,Belgium,France,Married different origin (2nd gen),19.92,2
1880,Belgium,France,Married father's origin (1st gen immigrant),9.52,1
1880,Belgium,France,Married father's origin (2nd gen),9.78,1
1880,Belgium,France,Married mother's origin (2nd gen),10.74,1
1880,Belgium,Germany,Married 3rd+ gen American,35.65,4
1880,Belgium,Germany,Married different origin (1st gen immigrant),20.009999999999998,2
1880,Belgium,Germany,Married father's origin (1st gen immigrant),29.75,3
1880,Belgium,Germany,Married father's origin (2nd gen),9.87,1
1880,Belgium,Germany,Married mother's origin (2nd gen),19.92,2
1880,Belgium,Germany,Married someone sharing both heritages (2nd gen),19.48,2
1880,Belgium,Netherlands,Married different origin (1st gen immigrant),10.18,1
1880,Belgium,Netherlands,Married father's origin (1st gen immigrant),9.9,1
1880,Belgium,Netherlands,Married mother's origin (2nd gen),10.4,1
1880,Belgium,Spain,Married 3rd+ gen American,4.88,1
1880,Belgium,Switzerland,Married 3rd+ gen American,9.53,1
1880,Belgium,Switzerland,Married different origin (1st gen immigrant),9.77,1
1880,Belgium,Switzerland,Married different origin (2nd gen),10.18,1
1880,Belgium,US-born,Married 3rd+ gen American,29.7,3
1880,Belgium,US-born,Married different origin (1st gen immigrant),4.96,1
1880,Canada,Abroad/At Sea,Married 3rd+ gen American,9.81,1
1880,Canada,Abroad/At Sea,Married mother's origin (1st gen immigrant),9.82,1
1880,Canada,Abroad/At Sea,Married mother's origin (2nd gen),10.15,1
1880,Canada,Austria,Married different origin (1st gen immigrant),4.98,1
1880,Canada,Canada,Married 3rd+ gen American,13644.61,1407
1880,Canada,Canada,Married different origin (1st gen immigrant),2176.57,227
1880,Canada,Canada,Married different origin (2nd gen),3300.21,340
1880,Canada,Canada,Married same origin (1st gen immigrant),12368.789999999999,1273
1880,Canada,Canada,Married same origin (2nd gen),9843.539999999999,1024
1880,Canada,Denmark,Married mother's origin (1st gen immigrant),10.09,1
1880,Canada,England,Married 3rd+ gen American,1555.71,158
1880,Canada,England,Married different origin (1st gen immigrant),205.57999999999998,21
1880,Canada,England,Married different origin (2nd gen),165.54,17
1880,Canada,England,Married father's origin (1st gen immigrant),169.26,17
1880,Canada,England,Married father's origin (2nd gen),156.33,17
1880,Canada,England,Married mother's origin (1st gen immigrant),274.08,28
1880,Canada,England,Married mother's origin (2nd gen),139.8,14
1880,Canada,England,Married someone sharing both heritages (2nd gen),30.0,3
1880,Canada,France,Married 3rd+ gen American,396.7,42
1880,Canada,France,Married different origin (1st gen immigrant),76.22,8
1880,Canada,France,Married different origin (2nd gen),146.57999999999998,15
1880,Canada,France,Married father's origin (1st gen immigrant),9.95,1
1880,Canada,France,Married father's origin (2nd gen),39.41,4
1880,Canada,France,Married mother's origin (1st gen immigrant),119.7,12
1880,Canada,France,Married mother's origin (2nd gen),69.4,7
1880,Canada,Germany,Married 3rd+ gen American,180.03,18
1880,Canada,Germany,Married different origin (1st gen immigrant),20.58,3
1880,Canada,Germany,Married different origin (2nd gen),59.68,6
1880,Canada,Germany,Married father's origin (1st gen immigrant),54.8,6
1880,Canada,Germany,Married father's origin (2nd gen),19.990000000000002,2
1880,Canada,Germany,Married mother's origin (1st gen immigrant),24.25,3
1880,Canada,Germany,Married mother's origin (2nd gen),29.77,3
1880,Canada,Greece,Married 3rd+ gen American,9.86,1
1880,Canada,Ireland,Married 3rd+ gen American,912.5,94
1880,Canada,Ireland,Married different origin (1st gen immigrant),188.32999999999998,19
1880,Canada,Ireland,Married different origin (2nd gen),186.37,19
1880,Canada,Ireland,Married father's origin (1st gen immigrant),331.40999999999997,33
1880,Canada,Ireland,Married father's origin (2nd gen),441.14,44
1880,Canada,Ireland,Married mother's origin (1st gen immigrant),407.61,41
1880,Canada,Ireland,Married mother's origin (2nd gen),79.42,8
1880,Canada,Ireland,Married someone sharing both heritages (2nd gen),60.1,6
1880,Canada,Italy,Married mother's origin (1st gen immigrant),9.99,1
1880,Canada,Italy,Married mother's origin (2nd gen),19.77,2
1880,Canada,Mexico,Married different origin (1st gen immigrant),4.93,1
1880,Canada,Netherlands,Married 3rd+ gen American,10.13,1
1880,Canada,Norway,Married 3rd+ gen American,10.37,1
1880,Canada,Poland,Married different origin (2nd gen),10.38,1
1880,Canada,Portugal,Married 3rd+ gen American,10.03,1
1880,Canada,Scotland,Married 3rd+ gen American,560.53,57
1880,Canada,Scotland,Married different origin (1st gen immigrant),69.51,7
1880,Canada,Scotland,Married different origin (2nd gen),110.77,12
1880,Canada,Scotland,Married father's origin (2nd gen),14.92,2
1880,Canada,Scotland,Married mother's origin (1st gen immigrant),150.64,15
1880,Canada,Scotland,Married mother's origin (2nd gen),120.52,12
1880,Canada,South America,Married 3rd+ gen American,4.92,1
1880,Canada,Spain,Married different origin (2nd gen),10.08,2
1880,Canada,Sweden,Married 3rd+ gen American,19.77,2
1880,Canada,Sweden,Married mother's origin (2nd gen),10.34,1
1880,Canada,Switzerland,Married 3rd+ gen American,29.87,3
1880,Canada,Switzerland,Married different origin (1st gen immigrant),9.76,1
1880,Canada,Switzerland,Married different origin (2nd gen),9.96,1
1880,Canada,Turkey,Married 3rd+ gen American,10.15,1
1880,Canada,US-born,Married 3rd+ gen American,15932.72,1635
1880,Canada,US-born,Married different origin (1st gen immigrant),1378.11,140
1880,Canada,US-born,Married different origin (2nd gen),2449.89,251
1880,Canada,US-born,Married mother's origin (1st gen immigrant),2348.63,241
1880,Canada,US-born,Married mother's origin (2nd gen),2569.77,264
1880,Canada,Wales,Married 3rd+ gen American,19.85,2
1880,Canada,Wales,Married different origin (2nd gen),14.86,2
1880,Canada,Wales,Married father's origin (1st gen immigrant),10.45,1
1880,Canada,Wales,Married father's origin (2nd gen),9.72,1
1880,Canada,Wales,Married mother's origin (2nd gen),10.04,1
1880,Central America,Africa,Married 3rd+ gen American,5.09,1
1880,Central America,Central America,Married 3rd+ gen American,5.04,1
1880,Central America,Central America,Married different origin (1st gen immigrant),5.09,1
1880,Central America,England,Married father's origin (1st gen immigrant),4.91,1
1880,Central America,Ireland,Married 3rd+ gen American,5.24,1
1880,Central America,South America,Married different origin (1st gen immigrant),5.01,1
1880,Central America,Spain,Married 3rd+ gen American,5.0,1
1880,Central America,US-born,Married 3rd+ gen American,5.04,1
1880,Central America,US-born,Married different origin (1st gen immigrant),5.05,1
1880,China,China,Married different origin (1st gen immigrant),4.96,1
1880,China,China,Married different origin (2nd gen),10.02,2
1880,China,China,Married same origin (1st gen immigrant),9.719999999999999,2
1880,China,China,Married same origin (2nd gen),10.4,2
1880,China,England,Married 3rd+ gen American,5.02,1
1880,China,US-born,Married 3rd+ gen American,4.94,1
1880,Cuba,Africa,Married 3rd+ gen American,4.96,1
1880,Cuba,Cuba,Married 3rd+ gen American,54.82,11
1880,Cuba,Cuba,Married different origin (1st gen immigrant),20.02,4
1880,Cuba,Cuba,Married same origin (1st gen immigrant),9.93,2
1880,Cuba,Cuba,Married same origin (2nd gen),9.96,2
1880,Cuba,England,Married 3rd+ gen American,10.030000000000001,2
1880,Cuba,France,Married different origin (1st gen immigrant),10.0,2
1880,Cuba,France,Married different origin (2nd gen),9.96,2
1880,Cuba,France,Married mother's origin (1st gen immigrant),4.98,1
1880,Cuba,Germany,Married mother's origin (1st gen immigrant),4.98,1
1880,Cuba,Ireland,Married 3rd+ gen American,5.19,1
1880,Cuba,Israel/Palestine,Married 3rd+ gen American,5.0,1
1880,Cuba,Scotland,Married 3rd+ gen American,4.89,1
1880,Cuba,Scotland,Married different origin (1st gen immigrant),4.86,1
1880,Cuba,Scotland,Married different origin (2nd gen),4.96,1
1880,Cuba,Spain,Married 3rd+ gen American,19.5,3
1880,Cuba,Spain,Married mother's origin (1st gen immigrant),4.81,1
1880,Cuba,US-born,Married 3rd+ gen American,74.68,13
1880,Cuba,US-born,Married different origin (1st gen immigrant),24.85,5
1880,Cuba,US-born,Married different origin (2nd gen),10.0,2
1880,Cuba,US-born,Married mother's origin (1st gen immigrant),5.08,1
1880,Czechoslovakia,Austria,Married different origin (1st gen immigrant),9.95,1
1880,Czechoslovakia,Austria,Married different origin (2nd gen),10.02,1
1880,Czechoslovakia,Czechoslovakia,Married 3rd+ gen American,76.8,8
1880,Czechoslovakia,Czechoslovakia,Married different origin (1st gen immigrant),140.4,14
1880,Czechoslovakia,Czechoslovakia,Married different origin (2nd gen),151.69,15
1880,Czechoslovakia,Czechoslovakia,Married same origin (1st gen immigrant),786.06,78
1880,Czechoslovakia,Czechoslovakia,Married same origin (2nd gen),412.06,42
1880,Czechoslovakia,Germany,Married 3rd+ gen American,19.63,2
1880,Czechoslovakia,Germany,Married different origin (1st gen immigrant),9.77,1
1880,Czechoslovakia,Germany,Married father's origin (1st gen immigrant),54.29,6
1880,Czechoslovakia,Germany,Married father's origin (2nd gen),29.95,3
1880,Czechoslovakia,Germany,Married mother's origin (1st gen immigrant),10.36,1
1880,Czechoslovakia,Hungary,Married different origin (1st gen immigrant),9.92,1
1880,Czechoslovakia,Poland,Married different origin (2nd gen),10.36,1
1880,Czechoslovakia,US-born,Married 3rd+ gen American,29.62,3
1880,Czechoslovakia,US-born,Married different origin (1st gen immigrant),5.06,1
1880,Czechoslovakia,US-born,Married mother's origin (1st gen immigrant),9.97,1
1880,Denmark,Denmark,Married 3rd+ gen American,282.11,28
1880,Denmark,Denmark,Married different origin (1st gen immigrant),280.04,29
1880,Denmark,Denmark,Married different origin (2nd gen),143.44,15
1880,Denmark,Denmark,Married same origin (1st gen immigrant),257.6,26
1880,Denmark,Denmark,Married same origin (2nd gen),98.86,10
1880,Denmark,England,Married 3rd+ gen American,10.06,1
1880,Denmark,England,Married father's origin (1st gen immigrant),10.48,1
1880,Denmark,France,Married 3rd+ gen American,10.0,1
1880,Denmark,Germany,Married 3rd+ gen American,4.99,1
1880,Denmark,Germany,Married different origin (1st gen immigrant),15.12,2
1880,Denmark,Germany,Married different origin (2nd gen),9.43,1
1880,Denmark,Germany,Married father's origin (1st gen immigrant),10.02,1
1880,Denmark,Germany,Married father's origin (2nd gen),19.82,2
1880,Denmark,Germany,Married mother's origin (1st gen immigrant),10.02,1
1880,Denmark,Ireland,Married 3rd+ gen American,9.82,1
1880,Denmark,Ireland,Married father's origin (1st gen immigrant),5.02,1
1880,Denmark,Norway,Married different origin (1st gen immigrant),9.97,1
1880,Denmark,Spain,Married 3rd+ gen American,4.97,1
1880,Denmark,Sweden,Married 3rd+ gen American,9.89,1
1880,Denmark,Sweden,Married different origin (2nd gen),9.95,1
1880,Denmark,Sweden,Married mother's origin (1st gen immigrant),20.28,2
1880,Denmark,US-born,Married 3rd+ gen American,60.11,6
1880,Denmark,US-born,Married different origin (1st gen immigrant),10.67,1
1880,Denmark,US-born,Married different origin (2nd gen),20.04,2
1880,Denmark,US-born,Married mother's origin (1st gen immigrant),9.92,1
1880,England,Abroad/At Sea,Married 3rd+ gen American,45.410000000000004,5
1880,England,Abroad/At Sea,Married different origin (1st gen immigrant),4.99,1
1880,England,Austria,Married 3rd+ gen American,10.03,1
1880,England,Austria,Married different origin (1st gen immigrant),9.77,1
1880,England,Austria,Married father's origin (1st gen immigrant),10.28,1
1880,England,Canada,Married 3rd+ gen American,588.61,62
1880,England,Canada,Married different origin (1st gen immigrant),44.519999999999996,5
1880,England,Canada,Married different origin (2nd gen),100.13,10
1880,England,Canada,Married father's origin (1st gen immigrant),129.95,13
1880,England,Canada,Married father's origin (2nd gen),120.13,12
1880,England,Canada,Married mother's origin (1st gen immigrant),65.68,7
1880,England,Canada,Married mother's origin (2nd gen),65.56,7
1880,England,Canada,Married someone sharing both heritages (2nd gen),109.68,11
1880,England,Cuba,Married 3rd+ gen American,4.98,1
1880,England,Cuba,Married different origin (2nd gen),9.96,2
1880,England,Czechoslovakia,Married 3rd+ gen American,10.0,1
1880,England,Denmark,Married 3rd+ gen American,40.760000000000005,5
1880,England,Denmark,Married different origin (1st gen immigrant),10.09,1
1880,England,Denmark,Married different origin (2nd gen),15.02,2
1880,England,Denmark,Married mother's origin (2nd gen),10.0,1
1880,England,England,Married 3rd+ gen American,58560.66,6008
1880,England,England,Married different origin (1st gen immigrant),9843.69,1012
1880,England,England,Married different origin (2nd gen),12664.66,1297
1880,England,England,Married same origin (1st gen immigrant),11893.93,1208
1880,England,England,Married same origin (2nd gen),14796.96,1503
1880,England,France,Married 3rd+ gen American,348.96,39
1880,England,France,Married different origin (1st gen immigrant),111.67999999999999,12
1880,England,France,Married different origin (2nd gen),110.39,11
1880,England,France,Married father's origin (1st gen immigrant),30.52,3
1880,England,France,Married father's origin (2nd gen),15.129999999999999,2
1880,England,France,Married mother's origin (1st gen immigrant),49.71,5
1880,England,France,Married mother's origin (2nd gen),60.37,6
1880,England,Germany,Married 3rd+ gen American,924.85,96
1880,England,Germany,Married different origin (1st gen immigrant),170.86,18
1880,England,Germany,Married different origin (2nd gen),184.26,20
1880,England,Germany,Married father's origin (1st gen immigrant),229.18,24
1880,England,Germany,Married father's origin (2nd gen),245.17,27
1880,England,Germany,Married mother's origin (1st gen immigrant),150.75,15
1880,England,Germany,Married mother's origin (2nd gen),130.29,14
1880,England,Germany,Married someone sharing both heritages (2nd gen),60.2,6
1880,England,Ireland,Married 3rd+ gen American,2426.7,250
1880,England,Ireland,Married different origin (1st gen immigrant),439.82,46
1880,England,Ireland,Married different origin (2nd gen),355.13,36
1880,England,Ireland,Married father's origin (1st gen immigrant),380.76,39
1880,England,Ireland,Married father's origin (2nd gen),702.84,72
1880,England,Ireland,Married mother's origin (1st gen immigrant),220.26,22
1880,England,Ireland,Married mother's origin (2nd gen),334.79,34
1880,England,Ireland,Married someone sharing both heritages (2nd gen),278.03,29
1880,England,Netherlands,Married 3rd+ gen American,54.83,6
1880,England,Netherlands,Married different origin (1st gen immigrant),20.02,2
1880,England,Netherlands,Married different origin (2nd gen),15.0,2
1880,England,Netherlands,Married father's origin (2nd gen),29.810000000000002,3
1880,England,Norway,Married 3rd+ gen American,9.45,1
1880,England,Norway,Married father's origin (2nd gen),9.89,1
1880,England,Norway,Married mother's origin (1st gen immigrant),10.17,1
1880,England,Norway,Married mother's origin (2nd gen),10.0,1
1880,England,Poland,Married different origin (1st gen immigrant),20.11,2
1880,England,Poland,Married different origin (2nd gen),10.91,1
1880,England,Portugal,Married 3rd+ gen American,20.2,2
1880,England,Portugal,Married different origin (2nd gen),9.99,1
1880,England,Russia/USSR,Married different origin (1st gen immigrant),15.0,2
1880,England,Russia/USSR,Married different origin (2nd gen),9.9,1
1880,England,Scotland,Married 3rd+ gen American,1869.26,195
1880,England,Scotland,Married different origin (1st gen immigrant),415.37,44
1880,England,Scotland,Married different origin (2nd gen),392.03,39
1880,England,Scotland,Married father's origin (1st gen immigrant),69.49,8
1880,England,Scotland,Married father's origin (2nd gen),121.16,12
1880,England,Scotland,Married mother's origin (1st gen immigrant),192.75,19
1880,England,Scotland,Married mother's origin (2nd gen),340.06,35
1880,England,Scotland,Married someone sharing both heritages (2nd gen),89.71,9
1880,England,Spain,Married 3rd+ gen American,34.71,7
1880,England,Spain,Married different origin (1st gen immigrant),4.84,1
1880,England,Spain,Married different origin (2nd gen),14.669999999999998,3
1880,England,Spain,Married mother's origin (1st gen immigrant),9.98,2
1880,England,Spain,Married mother's origin (2nd gen),4.92,1
1880,England,Sweden,Married 3rd+ gen American,35.42,4
1880,England,Sweden,Married different origin (1st gen immigrant),24.8,3
1880,England,Sweden,Married different origin (2nd gen),29.9,3
1880,England,Sweden,Married father's origin (1st gen immigrant),5.18,1
1880,England,Switzerland,Married 3rd+ gen American,59.17,6
1880,England,Switzerland,Married different origin (1st gen immigrant),30.990000000000002,3
1880,England,Switzerland,Married different origin (2nd gen),10.91,1
1880,England,Switzerland,Married father's origin (2nd gen),10.04,1
1880,England,Switzerland,Married mother's origin (1st gen immigrant),10.36,1
1880,England,US-born,Married 3rd+ gen American,21086.29,2193
1880,England,US-born,Married different origin (1st gen immigrant),1797.79,191
1880,England,US-born,Married different origin (2nd gen),3046.66,315
1880,England,US-born,Married mother's origin (1st gen immigrant),1233.4,126
1880,England,US-born,Married mother's origin (2nd gen),3176.2599999999998,328
1880,England,Wales,Married 3rd+ gen American,510.83,52
1880,England,Wales,Married different origin (1st gen immigrant),19.96,2
1880,England,Wales,Married different origin (2nd gen),95.02,10
1880,England,Wales,Married father's origin (1st gen immigrant),39.73,4
1880,England,Wales,Married father's origin (2nd gen),19.94,2
1880,England,Wales,Married mother's origin (1st gen immigrant),50.15,5
1880,England,Wales,Married mother's origin (2nd gen),35.12,4
1880,England,West Indies,Married 3rd+ gen American,24.99,4
1880,Europe (unspecified),Europe (unspecified),Married 3rd+ gen American,322.54,33
1880,Europe (unspecified),Europe (unspecified),Married different origin (1st gen immigrant),93.67,10
1880,Europe (unspecified),Europe (unspecified),Married different origin (2nd gen),100.61,11
1880,Europe (unspecified),Europe (unspecified),Married same origin (1st gen immigrant),134.86,16
1880,Europe (unspecified),Europe (unspecified),Married same origin (2nd gen),112.12,12
1880,Europe (unspecified),Germany,Married father's origin (1st gen immigrant),20.13,2
1880,Europe (unspecified),Germany,Married mother's origin (1st gen immigrant),9.61,1
1880,Europe (unspecified),Netherlands,Married 3rd+ gen American,10.74,1
1880,Europe (unspecified),US-born,Married 3rd+ gen American,15.21,3
1880,Europe (unspecified),US-born,Married different origin (2nd gen),19.53,2
1880,Europe (unspecified),US-born,Married mother's origin (1st gen immigrant),5.02,1
1880,France,Abroad/At Sea,Married 3rd+ gen American,28.72,3
1880,France,Abroad/At Sea,Married different origin (1st gen immigrant),10.02,1
1880,France,Abroad/At Sea,Married different origin (2nd gen),9.79,1
1880,France,Belgium,Married 3rd+ gen American,30.33,3
1880,France,Belgium,Married different origin (1st gen immigrant),30.05,3
1880,France,Belgium,Married different origin (2nd gen),30.07,3
1880,France,Belgium,Married mother's origin (2nd gen),9.6,1
1880,France,Canada,Married 3rd+ gen American,70.07,7
1880,France,Canada,Married different origin (1st gen immigrant),10.35,1
1880,France,Canada,Married different origin (2nd gen),59.3,6
1880,France,Canada,Married father's origin (1st gen immigrant),74.09,8
1880,France,Canada,Married father's origin (2nd gen),30.29,3
1880,France,Canada,Married mother's origin (1st gen immigrant),10.28,1
1880,France,Canada,Married mother's origin (2nd gen),20.119999999999997,2
1880,France,China,Married 3rd+ gen American,4.85,1
1880,France,Cuba,Married 3rd+ gen American,9.97,2
1880,France,Cuba,Married different origin (1st gen immigrant),4.78,1
1880,France,Cuba,Married different origin (2nd gen),4.98,1
1880,France,Czechoslovakia,Married 3rd+ gen American,9.67,1
1880,France,Czechoslovakia,Married different origin (2nd gen),9.95,1
1880,France,Denmark,Married 3rd+ gen American,10.19,1
1880,France,Denmark,Married different origin (1st gen immigrant),10.02,1
1880,France,England,Married 3rd+ gen American,354.73,37
1880,France,England,Married different origin (1st gen immigrant),95.5,10
1880,France,England,Married different origin (2nd gen),99.83,10
1880,France,England,Married father's origin (1st gen immigrant),44.73,5
1880,France,England,Married father's origin (2nd gen),49.97,5
1880,France,England,Married mother's origin (1st gen immigrant),10.48,1
1880,France,England,Married mother's origin (2nd gen),4.98,1
1880,France,France,Married 3rd+ gen American,7188.81,760
1880,France,France,Married different origin (1st gen immigrant),5404.29,556
1880,France,France,Married different origin (2nd gen),5847.42,602
1880,France,France,Married same origin (1st gen immigrant),2849.95,297
1880,France,France,Married same origin (2nd gen),4198.5,437
1880,France,Germany,Married 3rd+ gen American,1204.94,127
1880,France,Germany,Married different origin (1st gen immigrant),361.01,36
1880,France,Germany,Married different origin (2nd gen),331.62,36
1880,France,Germany,Married father's origin (1st gen immigrant),1005.93,103
1880,France,Germany,Married father's origin (2nd gen),853.56,87
1880,France,Germany,Married mother's origin (1st gen immigrant),205.84,21
1880,France,Germany,Married mother's origin (2nd gen),302.32,31
1880,France,Germany,Married someone sharing both heritages (2nd gen),229.31,23
1880,France,Greece,Married different origin (1st gen immigrant),10.02,1
1880,France,Ireland,Married 3rd+ gen American,210.43,22
1880,France,Ireland,Married different origin (1st gen immigrant),29.869999999999997,3
1880,France,Ireland,Married different origin (2nd gen),71.74,7
1880,France,Ireland,Married father's origin (1st gen immigrant),30.23,3
1880,France,Ireland,Married father's origin (2nd gen),160.71,16
1880,France,Ireland,Married someone sharing both heritages (2nd gen),19.66,2
1880,France,Italy,Married 3rd+ gen American,44.089999999999996,5
1880,France,Italy,Married different origin (1st gen immigrant),4.98,1
1880,France,Italy,Married different origin (2nd gen),29.61,4
1880,France,Italy,Married father's origin (1st gen immigrant),5.05,1
1880,France,Italy,Married mother's origin (2nd gen),10.09,2
1880,France,Luxembourg,Married different origin (1st gen immigrant),10.07,1
1880,France,Luxembourg,Married father's origin (1st gen immigrant),10.11,1
1880,France,Luxembourg,Married father's origin (2nd gen),10.11,1
1880,France,Malta,Married different origin (1st gen immigrant),14.72,2
1880,France,Malta,Married mother's origin (1st gen immigrant),9.95,1
1880,France,Netherlands,Married 3rd+ gen American,9.55,1
1880,France,Netherlands,Married different origin (1st gen immigrant),31.93,3
1880,France,Netherlands,Married different origin (2nd gen),20.11,2
1880,France,Netherlands,Married father's origin (2nd gen),9.96,1
1880,France,Netherlands,Married mother's origin (2nd gen),9.96,1
1880,France,Norway,Married 3rd+ gen American,10.04,1
1880,France,Norway,Married father's origin (2nd gen),10.3,1
1880,France,Poland,Married 3rd+ gen American,9.97,1
1880,France,Poland,Married different origin (2nd gen),30.439999999999998,3
1880,France,Portugal,Married 3rd+ gen American,19.66,2
1880,France,Russia/USSR,Married different origin (1st gen immigrant),20.72,2
1880,France,Scotland,Married 3rd+ gen American,103.95,12
1880,France,Scotland,Married different origin (1st gen immigrant),39.6,5
1880,France,Scotland,Married different origin (2nd gen),49.55,5
1880,France,Scotland,Married mother's origin (1st gen immigrant),10.04,1
1880,France,South America,Married 3rd+ gen American,4.98,1
1880,France,Spain,Married 3rd+ gen American,24.97,5
1880,France,Spain,Married different origin (1st gen immigrant),10.219999999999999,2
1880,France,Spain,Married different origin (2nd gen),19.75,4
1880,France,Spain,Married father's origin (1st gen immigrant),4.98,1
1880,France,Spain,Married mother's origin (1st gen immigrant),9.55,2
1880,France,Spain,Married mother's origin (2nd gen),9.96,2
1880,France,Switzerland,Married 3rd+ gen American,184.10999999999999,19
1880,France,Switzerland,Married different origin (1st gen immigrant),144.19,16
1880,France,Switzerland,Married different origin (2nd gen),74.58,8
1880,France,Switzerland,Married father's origin (1st gen immigrant),30.2,3
1880,France,Switzerland,Married father's origin (2nd gen),20.189999999999998,2
